2.996449999999999818e+03,4.566706600000000903e-06
3.026539999999999964e+03,1.159634023762627964e-06
3.056619999999999891e+03,1.101421802002225206e-06
3.086710000000000036e+03,4.638440046199700012e-06
3.116789999999999964e+03,7.496443349075978369e-06
3.146869999999999891e+03,3.454882047159019363e-06
3.176940000000000055e+03,2.217592450991501286e-06
3.207019999999999982e+03,3.017078692048635872e-06
3.237090000000000146e+03,1.423002502841965302e-06
3.267159999999999854e+03,1.492304233839372902e-06
3.296650000000000091e+03,1.547297707516835614e-06
3.326719999999999800e+03,1.596716942463776312e-06
3.356780000000000200e+03,1.639427476644423791e-06
3.386829999999999927e+03,2.234198822959725489e-06
3.416889999999999873e+03,2.852559644111448943e-06
3.446940000000000055e+03,2.901027568030171204e-06
3.476989999999999782e+03,1.776972471095772400e-06
3.507030000000000200e+03,6.033283943886861489e-07
3.537070000000000164e+03,6.131665099236641963e-07
3.567110000000000127e+03,1.244381955819690698e-06
3.597150000000000091e+03,1.260583883687312318e-06
3.627179999999999836e+03,1.921318024483043706e-06
3.657210000000000036e+03,3.249889016734114108e-06
3.687239999999999782e+03,1.975554720670391268e-06
3.717260000000000218e+03,2.666978192187668331e-06
3.747280000000000200e+03,6.004719601238257717e-05
3.777300000000000182e+03,2.782265657142857077e-04
3.807880000000000109e+03,8.219767127777312388e-04
3.837889999999999873e+03,1.068112870040646050e-03
3.867889999999999873e+03,1.306009936217901500e-03
3.897900000000000091e+03,3.401980810365334059e-03
3.927900000000000091e+03,1.038403353192647247e-02
3.957900000000000091e+03,2.939255503061627764e-02
3.987889999999999873e+03,6.298763720880007355e-02
4.017880000000000109e+03,1.130010495721854302e-01
4.047869999999999891e+03,2.163466833979596771e-01
4.077849999999999909e+03,3.661029366900583337e-01
4.107829999999999927e+03,4.611846878540027950e-01
4.137810000000000400e+03,4.907904582230546153e-01
4.168340000000000146e+03,5.015117716513910473e-01
4.198310000000000400e+03,5.035044652661446740e-01
4.228279999999999745e+03,5.261146420952166336e-01
4.258239999999999782e+03,5.408463875119828845e-01
4.288199999999999818e+03,5.391335922507992651e-01
4.318149999999999636e+03,5.620944541480316081e-01
4.348100000000000364e+03,5.632683545718877305e-01
4.378619999999999891e+03,5.624068779523754280e-01
4.408560000000000400e+03,5.653629862635868308e-01
4.438500000000000000e+03,5.825568459368294372e-01
4.468439999999999600e+03,5.806348077034141353e-01
4.498369999999999891e+03,5.752853834976481284e-01
4.528300000000000182e+03,5.791229311847516659e-01
4.558779999999999745e+03,5.894690739963117654e-01
4.588699999999999818e+03,5.848120197327876246e-01
4.618619999999999891e+03,5.984809002311857196e-01
4.648529999999999745e+03,6.089169312894832098e-01
4.679010000000000218e+03,5.887544642831046282e-01
4.708909999999999854e+03,6.015219172943998549e-01
4.738810000000000400e+03,6.169334137536655049e-01
4.768710000000000036e+03,6.197029008026818664e-01
4.799159999999999854e+03,6.192230256923467735e-01
4.829050000000000182e+03,6.224040277985763980e-01
4.858939999999999600e+03,6.232463583940101026e-01
4.888819999999999709e+03,6.289787728612141748e-01
4.919250000000000000e+03,6.390910966603513543e-01
4.949130000000000109e+03,6.389094249690608907e-01
4.978989999999999782e+03,6.426366157150237290e-01
5.009420000000000073e+03,6.384631853145311675e-01
5.039279999999999745e+03,6.279590882919011685e-01
5.069130000000000109e+03,6.169793986475948788e-01
5.099539999999999964e+03,6.230085294151613828e-01
5.129390000000000327e+03,6.338289654212468927e-01
5.159229999999999563e+03,6.340865233356389741e-01
5.189630000000000109e+03,6.204163171133879606e-01
5.219460000000000036e+03,5.780278502153195497e-01
5.249289999999999964e+03,5.567794083183285059e-01
5.279670000000000073e+03,5.779918757437975119e-01
5.309489999999999782e+03,5.963554678660430985e-01
5.339869999999999891e+03,5.756757841938665576e-01
5.369680000000000291e+03,4.559956756320068250e-01
5.399479999999999563e+03,2.660007541898834482e-01
5.429840000000000146e+03,1.271826597464994490e-01
5.459640000000000327e+03,5.944977198719270800e-02
5.489989999999999782e+03,2.868642716911755722e-02
5.519770000000000437e+03,1.516238515200000157e-02
5.550119999999999891e+03,8.521768816808366481e-03
5.579890000000000327e+03,5.172069951845161342e-03
